Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"21H.385","The Ghetto: From Venice to Harlem","",,"11.152[J]",,,,,,Y,,,,"HASS-S",
"21H.390","Theories and Methods in the Study of History","Two History subjects,permission of instructor",,,,"21H.991",,Y,,,,"C. Capozzola",,"HASS-H",
"21H.391","Undergraduate Independent Study","",,,,,,Y,Y,,,"J. Ravel",,,
"21H.392","Undergraduate Independent Study","",,,,,,,,Y,,,,,
"21H.S01","Special Subject: History","Permission of instructor",,,,,,Y,,Y,,"C. Wilder",,,
"21H.S02","Special Subject: History","Permission of instructor",,,,,,Y,,Y,,"J. Ravel",,,
"21H.S03","Special Subject: History","",,,,,,Y,Y,Y,,"J. Ravel",,,
"21H.THT","History Pre-Thesis Tutorial","",,,,,,Y,,Y,,"J. Ravel",,,
"21H.THU","History Thesis","21H.THT",,,,,,Y,,Y,,"J. Ravel",,,
"21H.UR","Undergraduate Research","",,,,,,Y,Y,Y,Y,"L. Ekmekcioglu",,,
"21H.URG","Undergraduate Research","",,,,,,Y,Y,Y,Y,"L. Ekmekcioglu",,,
"21H.902","Reading Seminar in American History: 1877 to Present","21H.991;permission of instructor",,,,,"2017-2018",,,Y,,,,,
"21H.958","Colonialism in South Asia and Africa","",,,,"21H.358",,Y,,,,,,,
"21H.980","People and Other Animals","",,"21A.419[J]",,"21A.411[J],21H.380[J]","2017-2018",Y,,,,,,,
"21H.981","Seminar in Nature, Environment, and Empire","",,,,,"2017-2018",Y,,,,,,,
"21H.982","Technology and the Global Economy, 1000-2000","",,,,"21H.383",,,,Y,,,,,
"21H.983","Gender","",,,,,"2017-2018",,,Y,,,,,
"21H.991","Theories and Methods in the Study of History","Permission of instructor",,,,"21H.390",,Y,,,,"C. Capozzola",,,
"21H.992","Graduate Independent Study","Permission of instructor",,,,,,Y,,Y,,"H. Ritvo",,,
"21H.993","Graduate Independent Study",,,,,,,,,,,"H. Ritvo",,,
"21H.999","Teaching History","",,,,,,Y,Y,Y,Y,"J. Ravel",,,
"21L.000","Writing About Literature","",,"21W.041[J]",,,"2017-2018",Y,,,,,"CI-HW","HASS-H",
"21L.001","Foundations of Western Literature: Homer to Dante","",,,,,,,,Y,,,"CI-H","HASS-H",
"21L.002","Foundations of Western Literature: From Shakespeare to the Present","",,,,,"2017-2018",,,Y,,,"CI-H","HASS-H",
"21L.003","Reading Fiction","",,,,,,Y,,,,"D. Thorburn","CI-H","HASS-H",
