Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"2.002","Mechanics and Materials II","2.001;Chemistry GIR",,,,,,,,Y,,"L. Anand, K. Kamrin, P. Reis",,,
"2.003","Dynamics and Control I","Physics II","18.03,2.087","1.053[J]",,,,,,,,,,,
"2.004","Dynamics and Control II","2.003;Physics II GIR",,,,,,Y,,Y,,"G. Barbastathis, D. Del Vecchio, D. C. Gossard, D. E. Hardt, S. Lloyd",,,
"2.005","Thermal-Fluids Engineering I","Physics II GIR;Calculus II GIR;2.086,6.0002,18.06;permission of instructor",,,,,,Y,,Y,,"J. G. Brisson, J. Buongiorno, P. F. J. Lermusiaux, K. Varanasi",,,
"2.006","Thermal-Fluids Engineering II","2.005;2.051,2.06",,,,,,Y,,Y,,"J. G. Brisson, A. E. Hosoi, R. Karnik, G. H. McKinley",,,
"2.007","Design and Manufacturing I","2.001;2.670","2.086",,,,,,,,,"D. Frey, S. Kim, A. Winter",,,
"2.008","Design and Manufacturing II","2.007","2.017;2.005,2.051",,,,,Y,,Y,,"J.-H. Chun, M. L. Culpepper, S. Kim, S. G. Kim, S. E. Sarma, J. Hart",,,"LAB2"
"2.009","The Product Engineering Process","2.001;2.003;2.005,2.051;2.670,2.678,2.00B",,,,,,Y,,,,"D. R. Wallace",,,
"2.013","Engineering Systems Design","2.001;2.003;2.005,2.051;2.670,2.678,2.00B;permission of instructor",,,,"2.733",,Y,,,,"D. Hart",,,
"2.014","Engineering Systems Development","2.001;2.003;2.005,2.051;2.670,2.678,2.00B;permission of instructor",,,,"2.734",,,,Y,,"D. Hart",,,
"2.016","Hydrodynamics","2.001",,,,,,Y,,,,"A. H. Techet, P. D. Sclavounos",,,
"2.017","Design of Electromechanical Robotic Systems","2.003","2.005,2.05,2.051,2.016;2.671","1.015[J]",,,,,,Y,,"F. S. Hover, J. J. Leonard",,,"LAB2"
"2.019","Design of Ocean Systems","2.001;2.003;2.005,2.016",,,,,,,,Y,,"C. Chryssostomidis, M. S. Triantafyllou",,,
"2.02A","Engineering Materials: Properties and Applications","2.001",,,,,"2017-2018",Y,,,,"A. Kolpak",,,
"2.04A","Systems and Controls","","2.003",,,,,,,Y,,"G. Barbastathis",,,
"2.05","Thermodynamics","2.001",,,,,,Y,,,,"C. Buie",,,
"2.051","Introduction to Heat Transfer","2.05",,,,,,Y,,,,"J. H. Lienhard, E. N. Wang, A. Hosoi",,,
"2.06","Fluid Dynamics","2.001",,,,,,Y,,Y,,"G. H. McKinley, K. Varanasi, A. Techet",,,
"2.086","Numerical Computation for Mechanical Engineers","Physics I GIR;Calculus II GIR","18.03,2.087",,,,,Y,,Y,,"N. Hadjiconstantinou, A. Patera, D. Frey, A. Hosoi",,,"REST"
"2.087","Engineering Mathematics: Linear Algebra and ODEs","Calculus II GIR;Physics I GIR",,,,,,Y,,Y,,"A. Hosoi, T. Peacock",,,
"2.032","Dynamics","2.003",,,,,,Y,,,,"T. R. Akylas, T. Peacock, N. Hadjiconstantinou",,,
"2.033","Nonlinear Dynamics and Turbulence","1.060A",,"1.686[J],18.358[J]",,"1.068","2017-2018",,,Y,,"L. Bourouiba",,,
"2.034","Nonlinear Dynamics and Waves","Permission of instructor",,"1.685[J],18.377[J]",,,"2018-2019",,,Y,,"T. R. Akylas",,,
"2.036","Nonlinear Dynamics and Chaos","18.03,18.032",,"18.385[J]",,,"2017-2018",Y,,,,"R. R. Rosales",,,
"2.050","Nonlinear Dynamics: Chaos","18.03,18.032;Physics II GIR",,"12.006[J],18.353[J]",,,,Y,,,,"H. Ronellenfitsch",,,
"2.060","Structural Dynamics","18.03,permission of instructor",,"1.581[J],16.221[J]",,"1.058",,Y,,,,"T. Cohen",,,
"2.062","Wave Propagation","2.003;18.075",,"1.138[J],18.376[J]",,,"2017-2018",,,Y,,"T. R. Akylas, R. R. Rosales",,,
"2.065","Acoustics and Sensing","2.003,6.003,8.03,16.003",,,,"2.066",,,,Y,,"N. C. Makris",,,
"2.066","Acoustics and Sensing",,,,,,,,,,,"N. C. Makris",,,
"2.071","Mechanics of Solid Materials","2.002,2.02A",,,,,,,,Y,,"L. Anand, D. M. Parks",,,
"2.072","Mechanics of Continuous Media","2.071",,,,,"2018-2019",Y,,,,"L. Anand",,,
"2.073","Solid Mechanics: Plasticity and Inelastic Deformation","2.071",,,,,"2017-2018",Y,,,,"L. Anand, D. M. Parks",,,
"2.074","Solid Mechanics: Elasticity","2.002;18.03",,,,,,Y,,,,"R. Abeyaratne",,,
"2.076","Mechanics of Heterogeneous Materials","2.002,3.032,16.20,permission of instructor",,"16.223[J]",,,"2017-2018",Y,,,,"B. L. Wardle, S-G. Kim",,,
"2.080","Structural Mechanics","2.002",,"1.573[J]",,,,Y,,,,"T. Wierzbicki, H. Schmidt",,,
"2.081","Plates and Shells: Static and Dynamic Analysis","2.071,2.080,permission of instructor",,"16.230[J]",,,,,,Y,,"T. Sapsis",,,
