Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"5.52","Advanced Biological Chemistry",2,2,8,12,,,,"Permission of instructor",,"Concepts and methods of biochemistry, with emphasis on quantitative aspects of problem analysis and fundamentals of experimental methods. Intended for first-year graduate students with a strong interest in biological chemistry.",,,,,Y,,,,"1,oct 30","A. Klibanov","Lecture,8-119/TR/0/2.30-4.30;Lab,4-465/TR/0/1-5"
"5.53","Molecular Structure and Reactivity",3,0,6,9,,,,"5.13;5.60",,"Reaction mechanisms in organic chemistry: methods of investigation, relation of structure to reactivity, and reactive intermediates.",,,"5.43",,Y,,,,,"J. Van Humbeck","Lecture,4-159/MWF/0/10"
"5.54","Frontiers in Chemical Biology",2,0,4,6,,,,"5.13;5.07;7.06;permission of instructor",,"Introduction to current research at the interface of chemistry, biology, and bioengineering. Topics include imaging of biological processes, metabolic pathway engineering, protein engineering, mechanisms of DNA damage, RNA structure and function, macromolecular machines, protein misfolding and disease, metabolomics, and methods for analyzing signaling network dynamics. Lectures are interspersed with class discussions and student presentations based on current literature.","7.540[J],20.554[J]",,,,Y,,,,,"L. Kiessling","Lecture,4-231/T/0/8.30-10"
"5.56","Molecular Structure and Reactivity II",2,0,4,6,,,,"5.53,Permission of Instructor",,"Application of physical principles and methods to contemporary problems of interest in organic and polymer chemistry.",,,,"2018-2019",,,Y,,,,
"5.561","Chemistry in Industry",,,,2,,,,"5.03;5.07,7.05;5.13",,"Examination of recent advances in organic, biological, and inorganic and physical chemical research in industry. Taught in seminar format with participation by scientists from industrial research laboratories.",,,,,,,Y,,,,
"5.60","Thermodynamics and Kinetics",5,0,7,12,"REST",,,"Calculus II GIR;Chemistry GIR",,"Equilibrium properties of macroscopic systems. Basic thermodynamics: state of a system, state variables. Work, heat, first law of thermodynamics, thermochemistry. Second and third law of thermodynamics: entropy and free energy, including the molecular basis for these thermodynamic functions. Phase equilibrium and properties of solutions. Chemical equilibrium of reactions in gas and solution phases. Rates of chemical reactions. Special attention to thermodynamics related to global energy issues.",,,,,Y,,Y,,,"M. Bawendi, A. Shalek","Lecture,4-370/MWF/0/10;Recitation,36-144/MW/0/12,36-153/TR/0/11,36-156/TR/0/11,36-156/TR/0/12,38-166/TR/0/12,36-156/TR/0/1,36-156/TR/0/2"
"5.61","Physical Chemistry",5,0,7,12,"REST",,,"Physics II GIR;Calculus II GIR;Chemistry GIR",,"Introductory quantum chemistry; particles and waves; wave mechanics; atomic structure and the Periodic Table; valence and molecular orbital theory; molecular structure; and photochemistry.",,,,,Y,,,,,"R. Field","Lecture,2-105/MWF/0/10;Recitation,4-149/MW/0/12,1-134/TR/0/11"
"5.62","Physical Chemistry",4,0,8,12,,,,"5.60;5.61",,"Elementary statistical mechanics; transport properties; kinetic theory; solid state; reaction rate theory; and chemical reaction dynamics.",,,,,,,Y,,,,
"5.64","Frontiers of Interdisciplinary Science in Human Health and Disease",3,0,9,12,,,,"5.13;5.60;5.07,7.05",,"Introduces major principles, concepts, and clinical applications of biophysics, biophysical chemistry, and systems biology. Emphasizes biological macromolecular interactions, biochemical reaction dynamics, and genomics. Discusses current technological frontiers and areas of active research at the interface of basic and clinical science. Provides integrated, interdisciplinary training and core experimental and computational methods in molecular biochemistry and genomics.","HST.539[J]",,,,,,Y,,,,
"5.68","Kinetics of Chemical Reactions",3,0,6,9,,,,"5.62,10.37,10.65",,"Experimental and theoretical aspects of chemical reaction kinetics, including transition-state theories, molecular beam scattering, classical techniques, quantum and statistical mechanical estimation of rate constants, pressure-dependence and chemical activation, modeling complex reacting mixtures, and uncertainty/ sensitivity analyses. Reactions in the gas phase, liquid phase, and on surfaces are discussed with examples drawn from atmospheric, combustion, industrial, catalytic, and biological chemistry.","10.652[J]",,,"2017-2018",Y,,,,,,
