Subject Id,Subject Title,Total Units,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
2.851,System Optimization and Analysis for Operations,12,,,,,Y
2.852,Manufacturing Systems Analysis,12,,,,Y,
2.853,Introduction to Manufacturing Systems,12,,Y,,,
2.854,Introduction to Manufacturing Systems,12,,Y,,,
2.888,Professional Seminar in Global Manufacturing Innovation and Entrepreneurship,3,,,,Y,
2.890,Global Operations Leadership Seminar,,,Y,,Y,
2.900,Ethics for Engineers,6,,Y,,Y,
2.912,Venture Engineering,12,,,,Y,
2.913,Entrepreneurship in Engineering,12,,Y,,Y,
2.916,Funding Strategies for Startups,6,,,,Y,
2.96,Management in Engineering,12,,Y,,,
2.961,Management in Engineering,12,,Y,,,
2.965,Global Supply Chain Management,6,,,,Y,
2.98,Sports Technology: Engineering & Innovation,2,,Y,,Y,
2.981,New England Coastal Ecology,2,,,Y,,
2.990,Practical Work Experience,1,,Y,Y,Y,
2.993,Independent Study,,,Y,Y,Y,Y
2.994,Independent Study,,,Y,Y,Y,Y
2.995,Advanced Topics in Mechanical Engineering,,,Y,Y,Y,Y
2.996,Advanced Topics in Mechanical Engineering,,,Y,Y,Y,Y
2.997,Advanced Topics in Mechanical Engineering,,,Y,Y,Y,Y
2.998,Advanced Topics in Mechanical Engineering,,,Y,Y,Y,Y
2.S670,Undergraduate Special Subject in Mechanical Engineering,,,Y,,,
2.S790,Graduate Special Subject in Bioengineering,,,Y,Y,Y,Y
2.S791,Graduate Special Subject in Bioengineering,,,Y,Y,Y,Y
2.S792,Graduate Special Subject in Bioengineering,,,Y,Y,Y,Y
2.S97,Undergraduate Special Subject in Mechanical Engineering,,,,Y,,
2.S971,Undergraduate Special Subject in Mechanical Engineering,,,,Y,,
2.S972,Undergraduate Special Subject in Mechanical Engineering,,,Y,,Y,
2.S973,Undergraduate Special Subject in Mechanical Engineering,,,Y,,,
2.S974,Undergraduate Special Subject in Mechanical Engineering,,,,Y,,
2.S975,Undergraduate Special Subject in Mechanical Engineering,,,,Y,,
2.S980,Graduate Special Subject in Mechanical Engineering,,,,Y,,
2.S981,Graduate Special Subject in Mechanical Engineering,,,Y,Y,,
2.S982,Graduate Special Subject in Mechanical Engineering,,,,,Y,
2.S983,Graduate Special Subject in Mechanical Engineering,,,Y,,Y,
2.S990,Graduate Special Subject in Mechanical Engineering,,,,,Y,
2.S991,Undergraduate Special Subject in Mechanical Engineering,,,,,Y,
2.S992,Undergraduate Special Subject in Mechanical Engineering,,,Y,,,
2.S993,Undergraduate Special Subject in Mechanical Engineering,,,Y,,,
2.S994,Undergraduate Special Subject in Mechanical Engineering,,,,,Y,
2.S995,Undergraduate Special Subject in Mechanical Engineering,,,Y,,,
2.S996,Graduate Special Subject in Mechanical Engineering,,,Y,,Y,
2.S997,Graduate Special Subject in Mechanical Engineering,,,Y,Y,Y,
2.S998,Graduate Special Subject in Mechanical Engineering,,,Y,,Y,
2.S999,Graduate Special Subject in Mechanical Engineering,,,Y,,Y,
2.978,Instruction in Teaching Engineering,,,Y,,,
2.979,Undergraduate Teaching,,,Y,Y,Y,
2.999,Engineer's Degree Thesis Proposal Preparation,,,Y,,Y,Y
2.EPE,UPOP Engineering Practice Experience,0,,Y,,Y,
2.EPW,UPOP Engineering Practice Workshop,1,,Y,Y,,
2.THG,Graduate Thesis,,,Y,Y,Y,Y
2.THU,Undergraduate Thesis,,,Y,Y,Y,Y
2.UR,Undergraduate Research in Mechanical Engineering,,,Y,Y,Y,Y
